base_model,compression_type,compression_method,quantization_bits,compression_ratio,pruning_structure,active_parameters,group_body_type_regardv3_score,group_nationality_regardv3_score,group_age_regardv3_score,group_characteristics_regardv3_score,group_race_ethnicity_regardv3_score,group_socioeconomic_class_regardv3_score,group_religion_regardv3_score,group_gender_and_sex_regardv3_score,group_ability_regardv3_score,group_political_ideologies_regardv3_score,group_cultural_regardv3_score,group_sexual_orientation_regardv3_score,group_nonce_regardv3_score,group_null_regardv3_score,mean_regardv3_score_likelihood,mean_regardv3_score_ratio,group_body_type_openai_toxicity,group_nationality_openai_toxicity,group_age_openai_toxicity,group_characteristics_openai_toxicity,group_race_ethnicity_openai_toxicity,group_socioeconomic_class_openai_toxicity,group_religion_openai_toxicity,group_gender_and_sex_openai_toxicity,group_ability_openai_toxicity,group_political_ideologies_openai_toxicity,group_cultural_openai_toxicity,group_sexual_orientation_openai_toxicity,group_nonce_openai_toxicity,group_null_openai_toxicity,mean_openai_toxicity_likelihood,mean_openai_toxicity_ratio
llama2_13b,quantization,gptq,4,0,unstructured,12.12196827,0.2140047207,0.1620111732,0.1390728477,0.2620056497,0.2295409182,0.1828442438,0.1972685888,0.3229308005,0.2958412098,0.3211845103,0.2148760331,0.4061433447,0.06779661017,0.1875,0.2346,0.2346,0.001128995738,0.00283420342,0.001802121706,0.003597736911,0.002462790335,0.000394811628,0.001458270023,0.001597723355,0.001859153912,0.001749852067,0.008100113925,0.0005508937421,0.0007787932095,0.004989607058,0.001930404154,0
llama2_13b,pruning,magnitude,none,0.1,unstructured,10.90977144,0.2462627852,0.1899441341,0.1589403974,0.2598870056,0.2035928144,0.2257336343,0.2063732929,0.3473541384,0.3109640832,0.3189066059,0.2479338843,0.4027303754,0.1186440678,0.25,0.2519,0.2519,0.001382410463,0.0004005403113,0.0003709010021,0.002099749166,0.002606522353,0.001547132508,0.002491463597,0.003067533306,0.003468715113,0.001767290302,0.001534193422,0.006691746383,0.0008587533919,0.0007174512792,0.001999280902,0
llama2_13b,pruning,magnitude,none,0.2,unstructured,9.697574615,0.2261998426,0.187150838,0.1608325449,0.2627118644,0.2015968064,0.223476298,0.1972685888,0.34192673,0.3194706994,0.3189066059,0.2369146006,0.4129692833,0.1016949153,0.25,0.2467,0.2467,0.001305324519,0.0003956967242,0.0004746036695,0.001600983411,0.002436452291,0.002037688313,0.002815840513,0.004182190551,0.002518664715,0.003116502467,0.002136107985,0.007451741798,0.0009916342326,0.0002854777518,0.002040295468,0.0001
llama2_13b,pruning,magnitude,none,0.3,unstructured,8.485377789,0.243902439,0.2067039106,0.1636707663,0.2627118644,0.2215568862,0.2392776524,0.2245827011,0.3514246947,0.3260869565,0.3075170843,0.2424242424,0.4607508532,0.1016949153,0.1875,0.2581,0.2581,0.001808707986,0.0005680205347,0.0004791383555,0.002143096067,0.003078908123,0.001766254932,0.003917324116,0.004848961286,0.00343467533,0.001777020857,0.002662981602,0.01043007761,0.001754227354,6.91E-05,0.002546712367,0.0003
llama2_13b,pruning,magnitude,none,0.4,unstructured,7.273180962,0.2627852085,0.1480446927,0.1438032167,0.2761299435,0.1776447106,0.2776523702,0.1942336874,0.2957937585,0.3100189036,0.3690205011,0.2672176309,0.4300341297,0.2118644068,0.125,0.2562,0.2562,0.002284283582,0.002032431881,0.0006011497203,0.002262971292,0.003826656047,0.003173448196,0.004273914796,0.005607585222,0.004789205816,0.002119693849,0.003054821354,0.01286175285,0.003207798341,0.0001845069099,0.003190272588,0.0001
llama2_13b,pruning,magnitude,none,0.5,unstructured,6.060984135,0.1699449253,0.1312849162,0.08041627247,0.1546610169,0.121756487,0.09255079007,0.1684370258,0.1994572592,0.1928166352,0.2528473804,0.1845730028,0.2150170648,0.07627118644,0.0625,0.1598,0.1598,0.001115907133,0.001357829961,0.0006631353082,0.001869692916,0.001637740692,0.002692337616,0.002336164205,0.001692749358,0.002073619765,0.002031815623,0.004290482734,0.002996375292,0.0004762994802,0.0003692403271,0.001705481153,0.0001
llama2_13b,pruning,magnitude,none,0.6,unstructured,4.848787308,0.001573564123,0,0,0.01553672316,0.003992015968,0.006772009029,0.003034901366,0.002713704206,0.004725897921,0.002277904328,0,0.003412969283,0,0,0.0042,0.0042,0.001365850357,0.0008570353405,0.00106214237,0.001275137819,0.0009589312101,0.001378326963,0.0009921173828,0.001037073131,0.00112660299,0.001102236108,0.001218976791,0.001251088949,0.00183143875,0.003418476138,0.001197193217,0
llama2_13b,pruning,magnitude,none,0.5,semistructured:24,6.060984135,0.1219512195,0.1592178771,0.08987701041,0.1207627119,0.09580838323,0.1060948081,0.128983308,0.09905020353,0.1483931947,0.159453303,0.1212121212,0.1365187713,0.08474576271,0.1875,0.121,0.121,0.001931996221,0.002569199941,0.00268115896,0.001752915691,0.001468837432,0.002139747991,0.002394867571,0.001979299402,0.003100691372,0.003071654774,0.00208622359,0.003801141292,0.002376646434,0.0004343232802,0.002265519384,0.0003
llama2_13b,pruning,magnitude,none,0.5,semistructured:48,6.060984135,0.06805664831,0.04748603352,0.03689687796,0.09533898305,0.09580838323,0.03837471783,0.09863429439,0.05563093623,0.118147448,0.1161731207,0.06336088154,0.05802047782,0.03389830508,0,0.0755,0.0755,0.0009237470928,0.0007924475078,0.0009906489436,0.001184375296,0.001031543504,0.0005600235839,0.001047109093,0.001126765827,0.001073408423,0.002255675186,0.0004944661769,0.001937136132,0.0004689690129,0.0001801671708,0.001057261836,0
llama2_13b,none,none,none,0,unstructured,12.12196827,0.2423288749,0.156424581,0.1542100284,0.2725988701,0.1876247505,0.1896162528,0.215477997,0.3527815468,0.3147448015,0.3029612756,0.217630854,0.4061433447,0.1186440678,0.1875,0.2482,0.2482,0.001142436325,0.0005288400382,0.0003103105939,0.001865213562,0.003011486535,0.002450327854,0.002714319847,0.002952523791,0.002866648538,0.0009435423149,0.002061079179,0.005577115993,0.000551045586,0.0003079982368,0.001852088269,0
